food_name,recipe_name,ingredients,cooking_process,cooking_time,difficulty
Apple,Caramelized Apples,4 apples sliced|2 tbsp butter|3 tbsp brown sugar|1 tsp cinnamon|1/4 cup water,Heat butter in pan|Add apple slices|Sprinkle brown sugar and cinnamon|Cook 5 minutes|Add water and simmer 3 minutes,8 minutes,Easy
Apple,Apple Crisp,6 apples diced|1 cup oats|1/2 cup flour|1/2 cup butter|1/3 cup brown sugar|1 tsp cinnamon,Preheat oven to 375°F|Mix apples with half cinnamon|Place in baking dish|Mix oats flour butter sugar|Sprinkle over apples|Bake 30 minutes,40 minutes,Medium
Apple,Apple Smoothie,2 apples cored|1 cup yogurt|1/2 cup milk|2 tbsp honey|1/2 tsp vanilla|Ice cubes,Chop apples into pieces|Add all ingredients to blender|Blend until smooth|Add ice if needed|Serve immediately,5 minutes,Easy
Banana,Banana Pancakes,3 ripe bananas|2 eggs|1/4 cup flour|1 tsp vanilla|Pinch of salt|Butter for cooking,Mash bananas in bowl|Beat in eggs|Add flour vanilla salt|Heat butter in pan|Pour batter make pancakes|Cook 2 minutes each side,15 minutes,Easy
Banana,Banana Bread,4 ripe bananas|1/3 cup melted butter|3/4 cup sugar|1 egg|1 tsp vanilla|1 tsp baking soda|Pinch salt|1.5 cups flour,Preheat oven 350°F|Mash bananas|Mix with butter|Add sugar egg vanilla|Mix dry ingredients|Combine all|Bake 60 minutes,75 minutes,Medium
Banana,Banana Ice Cream,4 frozen bananas|2 tbsp milk|1 tbsp honey|1/2 tsp vanilla,Slice frozen bananas|Add to food processor|Add milk honey vanilla|Process until creamy|Serve immediately or freeze,10 minutes,Easy
Beetroot,Roasted Beetroot,4 medium beetroots|2 tbsp olive oil|Salt and pepper|Fresh thyme|Balsamic vinegar,Preheat oven 400°F|Wrap beetroots in foil with oil|Roast 45 minutes|Peel when cool|Slice and season|Drizzle with balsamic,60 minutes,Medium
Beetroot,Beetroot Salad,3 cooked beetroots|2 cups mixed greens|1/4 cup goat cheese|1/4 cup walnuts|2 tbsp olive oil|1 tbsp vinegar,Cook and peel beetroots|Slice beetroots|Arrange on greens|Add cheese and nuts|Whisk oil and vinegar|Drizzle dressing,20 minutes,Easy
Beetroot,Beetroot Soup,4 beetroots|1 onion|2 cups vegetable broth|1/2 cup cream|Salt pepper|Fresh dill,Roast beetroots until tender|Sauté onion|Add beetroots and broth|Simmer 20 minutes|Blend until smooth|Stir in cream|Garnish with dill,45 minutes,Medium
Tomato,Tomato Sauce,6 ripe tomatoes|3 cloves garlic|1 onion|2 tbsp olive oil|Salt pepper|Fresh basil,Blanch and peel tomatoes|Chop onion and garlic|Heat oil sauté onion|Add garlic cook 1 minute|Add tomatoes|Simmer 20 minutes|Season and add basil,30 minutes,Easy
Tomato,Caprese Salad,4 large tomatoes|8 oz mozzarella|Fresh basil leaves|3 tbsp olive oil|2 tbsp balsamic vinegar|Salt pepper,Slice tomatoes and mozzarella|Arrange alternating on plate|Add basil leaves between|Drizzle with oil and vinegar|Season with salt pepper,10 minutes,Easy
Tomato,Stuffed Tomatoes,6 large tomatoes|1 cup rice|1/2 cup pine nuts|1/4 cup raisins|2 tbsp olive oil|Fresh herbs,Cut tops off tomatoes|Scoop out flesh|Cook rice|Mix rice with nuts raisins herbs|Stuff tomatoes|Bake 30 minutes at 375°F,45 minutes,Medium
Carrot,Honey Glazed Carrots,1 lb carrots|2 tbsp butter|3 tbsp honey|1 tsp thyme|Salt pepper,Peel and slice carrots|Boil until tender|Drain|Heat butter in pan|Add carrots honey thyme|Glaze for 5 minutes,20 minutes,Easy
Carrot,Carrot Soup,2 lbs carrots|1 onion|3 cups broth|1 inch ginger|2 tbsp cream|Salt pepper,Chop carrots and onion|Sauté onion|Add carrots ginger broth|Simmer 25 minutes|Blend until smooth|Stir in cream,35 minutes,Medium
Carrot,Carrot Cake,2 cups flour|2 cups sugar|1 cup oil|4 eggs|3 cups grated carrots|2 tsp cinnamon|1 tsp baking soda,Preheat oven 350°F|Mix dry ingredients|Beat eggs oil sugar|Combine with dry|Fold in carrots|Bake 30 minutes,45 minutes,Medium
Potato,Mashed Potatoes,2 lbs potatoes|1/2 cup milk|4 tbsp butter|Salt pepper,Peel and cube potatoes|Boil until tender|Drain|Mash with milk and butter|Season with salt pepper,25 minutes,Easy
Potato,Roasted Potatoes,2 lbs small potatoes|3 tbsp olive oil|2 tsp rosemary|Salt pepper|3 cloves garlic,Preheat oven 425°F|Halve potatoes|Toss with oil herbs|Roast 30 minutes|Add garlic last 10 minutes,40 minutes,Easy
Potato,Potato Gratin,3 lbs potatoes|2 cups cream|1 cup cheese|2 cloves garlic|Salt pepper nutmeg,Preheat oven 375°F|Slice potatoes thin|Layer in baking dish|Heat cream with garlic|Pour over potatoes|Top with cheese|Bake 60 minutes,75 minutes,Medium