name,energy (kcal/kJ),protein (g),carbohydrates (g),fiber (g),vitamin C (mg),calcium (mg)
Beetroot,43,1.6,10,2.8,4.9,16
Tomato,18,0.9,3.9,1.2,14,10
Carrot,41,0.9,10,2.8,5.9,33
Spinach,23,2.9,3.6,2.2,28,99
Potato,77,2.0,17,2.2,19.7,12
Onion,40,1.1,9.3,1.7,7.4,23
Cabbage,25,1.3,6,2.5,36.6,40
Cauliflower,25,1.9,5,2,48.2,22
Broccoli,34,2.8,7,2.6,89.2,47
Bell Pepper,31,1,7,2.5,190,7
Cucumber,16,0.7,4,0.5,2.8,16
Eggplant,25,1,6,3,2.2,9
Garlic,149,6.4,33,2.1,31.2,181
Ginger,80,1.8,18,2,5,16
Lettuce,15,1.4,2.9,1.3,9.2,36
Peas,81,5.4,14,5.7,40,25
Corn,86,3.3,19,2.7,6.8,2
Radish,16,0.7,2,1.6,14.8,25
Turnip,28,0.9,6,1.8,21,30